,file,repeat,Resolution Range (Å),bin,Spacegroup,CChalf
0,thl_1p8A_grid_xval_both.mtz,0,34.35 - 1.80,0,P 61 2 2,0.9232187438353029
1,thl_1p8A_grid_xval_both.mtz,1,34.35 - 1.80,0,P 61 2 2,0.9236453873113166
2,thl_1p8A_grid_xval_both.mtz,2,34.35 - 1.80,0,P 61 2 2,0.9212233845776272
